img_id,clip_id,angry,disgusted,surprised,fearful,happy,sad
22_0001069_00050.jpg,22_0001069,0,0,0,0,0,1
03_0005-65_00061.jpg,03_0005-65,0,0,0,0,0,1
16_0024-21_00004.jpg,16_0024-21,0,0,0,0,1,0
16_0027-25_00007.jpg,16_0027-25,1,0,0,0,0,0
22_0000747_00026.jpg,22_0000747,0,0,0,0,0,1
06_0000682_00014.jpg,06_0000682,1,0,0,0,0,0
03_0007-16_00007.jpg,03_0007-16,1,0,0,0,0,0
06_0000899_00017.jpg,06_0000899,0,0,1,0,0,0
06_0000520_00026.jpg,06_0000520,0,0,1,0,0,0
03_0011-41_00010.jpg,03_0011-41,1,0,0,0,0,0
06_0000183_00022.jpg,06_0000183,0,0,0,0,0,1
03_0003-82_00016.jpg,03_0003-82,1,0,0,0,0,0
03_0005-88_00026.jpg,03_0005-88,0,1,0,0,0,0
16_00021-5_00001.jpg,16_00021-5,1,0,0,0,0,0
12_0015-59_00001.jpg,12_0015-59,1,0,0,0,0,0
22_0000094_00023.jpg,22_0000094,1,0,0,0,0,0
06_0000963_00015.jpg,06_0000963,0,0,1,0,0,0
22_0000390_00002.jpg,22_0000390,1,0,0,0,0,0
03_0005-89_00001.jpg,03_0005-89,0,1,0,0,0,0
03_0012-53_00001.jpg,03_0012-53,0,0,0,0,0,1
12_00016-6_00040.jpg,12_00016-6,1,0,0,0,0,0
03_0008-49_00004.jpg,03_0008-49,1,0,0,0,0,0
16_00026-6_00003.jpg,16_00026-6,1,0,0,0,0,0
16_0027-23_00011.jpg,16_0027-23,0,0,0,1,0,0
12_0007-22_00045.jpg,12_0007-22,1,0,0,0,0,0
16_00032-1_00039.jpg,16_00032-1,1,0,0,0,0,0
06_0000223_00076.jpg,06_0000223,0,0,0,0,0,1
22_0001052_00018.jpg,22_0001052,0,1,0,0,0,0
06_0000540_00003.jpg,06_0000540,0,0,0,1,0,0
03_0005-46_00022.jpg,03_0005-46,1,0,0,0,0,0
